episode,reward,avg_reward,epsilon,duration
136,-56.27975437331199,-505.909614528912,0.5057535983897912,0.9279482364654541
137,14.315449715524913,-500.2770212701853,0.5032248303978422,0.9214916229248047
138,-3.785460142485796,-489.9298853916355,0.500708706245853,0.9137682914733887
139,-13.209378348283465,-478.09292411475525,0.4982051627146237,0.9180090427398682
140,24.234216908857228,-470.7212441805106,0.49571413690105054,0.9400744438171387
141,48.363112986952075,-465.62038595074375,0.4932355662165453,0.96055006980896
142,-3.3900859231054596,-458.0812962047112,0.4907693883854626,0.9492597579956055
143,4.0853819166570915,-451.35451963230554,0.4883155414435353,0.9292411804199219
144,29.77052302603424,-448.8369822275366,0.4858739637363176,0.9776475429534912
145,-33.4235274214968,-385.51653099365603,0.483444593917636,0.9766552448272705
146,19.250854036703707,-382.64259887835084,0.4810273709480478,0.9465529918670654
147,-15.266012949936083,-379.13808454078685,0.47862223409330756,0.9730195999145508
148,-0.028994205474852208,-375.4733644010599,0.47622912292284103,0.9573144912719727
149,40.29562676598132,-369.38860418580987,0.4738479773082268,0.9828712940216064
150,7.554856994569306,-365.1496764373041,0.47147873742168567,0.9690563678741455
151,-4.375123785875736,-360.6337927036646,0.46912134373457726,0.9560437202453613
152,-5.664307496577493,-358.27800225049776,0.46677573701590436,0.9786007404327393
153,-39.321196704238645,-356.18916241177396,0.46444185833082485,0.9343221187591553
154,10.899102011144166,-350.281521177297,0.46211964903917074,0.8758506774902344
155,-5.413491225421424,-345.90918854912326,0.4598090507939749,0.8509218692779541
156,8.853888457573959,-341.04296311897264,0.457510005540005,0.8618803024291992
157,-98.50531555998325,-336.76431746793014,0.45522245551230495,0.8707482814788818
158,-39.14860130480677,-333.1647061643939,0.4529463432347434,0.8515629768371582
159,-51.99473136111349,-327.2541760673514,0.4506816115185697,0.8490314483642578
160,26.333168317943816,-325.04253104467904,0.4484282034609769,0.8646619319915771
161,-7.675277458570889,-320.53249245107656,0.446186062443672,0.8478753566741943
162,46.17503538814187,-315.79304578454224,0.4439551321314536,0.8494844436645508
163,-44.92020306277275,-305.38547239002764,0.4417353564707963,0.8538017272949219
164,-59.76120625536143,-227.8739818471248,0.43952667968844233,0.8577804565429688
165,-27.601351794853805,-224.28841057626482,0.43732904629000013,0.8538129329681396
166,20.542326005108656,-221.5677208852949,0.4351424010585501,0.852900505065918
167,-0.5897023138329374,-214.85986443531652,0.43296668905325736,0.8506479263305664
168,-59.50637014216929,-208.3736351630318,0.43080185560799106,0.9190325736999512
169,31.368653801649813,-205.87547236174302,0.4286478463299511,0.8676478862762451
170,-23.19687716576457,-199.74859225191133,0.42650460709830135,0.8840763568878174
